DOY,StationCode,mean_tec
225.0,TRIV,76.09633670383788
226.0,BOMB,66.7566408945624
226.0,IITK,52.7697576877141
226.0,MANI,57.54127039439676
226.0,ROPA,47.399979956234105
226.0,TRIV,68.31662583407339
227.0,BOMB,59.414339376872924
227.0,IITK,38.50184200758629
227.0,MANI,44.03341988949663
227.0,ROPA,33.563739440285644
227.0,TRIV,74.470340862797
228.0,BOMB,54.09049770944757
228.0,IITK,41.61739578351384
228.0,MANI,43.36327889228478
228.0,ROPA,36.507277054947835
228.0,TRIV,70.69675607417602
229.0,BOMB,52.89951473979151
229.0,IITK,40.29115574838596
229.0,MANI,40.61178774133633
229.0,ROPA,30.723347079955392
229.0,TRIV,73.72351817312871
230.0,BOMB,60.49838853440597
230.0,IITK,40.099916019145496
230.0,MANI,41.22192008805748
230.0,ROPA,37.6581984862324
230.0,TRIV,63.147989568352855
231.0,BOMB,52.434566642204146
231.0,IITK,43.8399528549337
231.0,MANI,33.73038270469974
231.0,ROPA,44.10882148917775
231.0,TRIV,59.12815700121187
232.0,BOMB,54.38364994173302
232.0,IITK,33.09168511674705
232.0,MANI,39.52982578200007
232.0,ROPA,33.5876135193003
232.0,TRIV,62.3954365478705
233.0,BOMB,49.627860602022785
233.0,IITK,37.35432243209649
233.0,MANI,40.443784089130425
233.0,ROPA,37.30131707090254
233.0,TRIV,58.14646657135926
234.0,BOMB,48.44634768641426
234.0,IITK,29.812662072021055
234.0,MANI,34.90500813551381
234.0,ROPA,26.871684019065118
234.0,TRIV,57.523855671098524
235.0,BOMB,58.827604622167385
235.0,IITK,35.2611482145243
235.0,MANI,38.94533147935231
235.0,ROPA,40.54705127492365
235.0,TRIV,51.44579111569599
236.0,BOMB,52.60908050097562
236.0,IITK,34.496202358552935
236.0,MANI,36.89395954439469
236.0,ROPA,28.27217703172307
236.0,TRIV,64.9796964024512
237.0,BOMB,56.70511519636031
237.0,IITK,40.886254105365516
237.0,MANI,41.245187649481934
237.0,ROPA,41.96756609433097
237.0,TRIV,54.59532162361571
238.0,BOMB,55.506813956765384
238.0,IITK,41.08088411489823
238.0,MANI,42.79312215286593
238.0,ROPA,44.18827549506011
238.0,TRIV,49.95863741850256
239.0,BOMB,54.69548054249755
239.0,IITK,44.55118346878032
239.0,MANI,47.69387317603687
239.0,ROPA,58.159326943847866
239.0,TRIV,36.09048891078829
240.0,BOMB,53.18671782797863
240.0,IITK,34.97749545118256
240.0,MANI,39.38708033819542
240.0,ROPA,37.977723876134505
240.0,TRIV,56.8005924976503
241.0,BOMB,45.39345880416756
241.0,IITK,37.15964005334428
241.0,MANI,39.04664600271026
241.0,ROPA,33.5739286297235
241.0,TRIV,51.321155300432515
242.0,BOMB,46.85200359787048
242.0,IITK,33.44427237882244
